time,Glucose,Hexokinase,Complex_G_H
1405.0,1e-06,3.00295195138e-06,1.26423383522e-15
1406.0,1e-06,3.00295405345e-06,1.26513345644e-15
1407.0,1e-06,3.00295615552e-06,1.26603307739e-15
1408.0,1e-06,3.00295825759e-06,1.26693269806e-15
1409.0,1e-06,3.00296035966e-06,1.26783231847e-15
1410.0,1e-06,3.00296246173e-06,1.26873193862e-15
1411.0,1e-06,3.00296456381e-06,1.26963155849e-15
1412.0,1e-06,3.00296666588e-06,1.27053117809e-15
1413.0,1e-06,3.00296876796e-06,1.27143079742e-15
1414.0,1e-06,3.00297087004e-06,1.27233041649e-15
1415.0,1e-06,3.00297297212e-06,1.27323003529e-15
1416.0,1e-06,3.0029750742e-06,1.27412965381e-15
1417.0,1e-06,3.00297717629e-06,1.27502927207e-15
1418.0,1e-06,3.00297927837e-06,1.27592889006e-15
1419.0,1e-06,3.00298138046e-06,1.27682850778e-15
1420.0,1e-06,3.00298348255e-06,1.27772812523e-15
1421.0,1e-06,3.00298558463e-06,1.27862774241e-15
1422.0,1e-06,3.00298768672e-06,1.27952735933e-15
1423.0,1e-06,3.00298978882e-06,1.28042697597e-15
1424.0,1e-06,3.00299189091e-06,1.28132659235e-15
1425.0,1e-06,3.00299399301e-06,1.28222620845e-15
1426.0,1e-06,3.0029960951e-06,1.28312582429e-15
1427.0,1e-06,3.0029981972e-06,1.28402543986e-15
1428.0,1e-06,3.0030002993e-06,1.28492505516e-15
1429.0,1e-06,3.0030024014e-06,1.28582467019e-15
1430.0,1e-06,3.0030045035e-06,1.28672428495e-15
1431.0,1e-06,3.00300660561e-06,1.28762389944e-15
1432.0,1e-06,3.00300870771e-06,1.28852351366e-15
1433.0,1e-06,3.00301080982e-06,1.28942312762e-15
1434.0,1e-06,3.00301291193e-06,1.2903227413e-15
1435.0,1e-06,3.00301501404e-06,1.29122235472e-15
1436.0,1e-06,3.00301711615e-06,1.29212196787e-15
1437.0,1e-06,3.00301921826e-06,1.29302158075e-15
1438.0,1e-06,3.00302132038e-06,1.29392119336e-15
1439.0,1e-06,3.00302342249e-06,1.2948208057e-15
1440.0,1e-06,3.00302552461e-06,1.29572041777e-15
1441.0,1e-06,3.00302762673e-06,1.29662002957e-15
1442.0,1e-06,3.00302972885e-06,1.2975196411e-15
1443.0,1e-06,3.00303183097e-06,1.29841925237e-15
1444.0,1e-06,3.00303393309e-06,1.29931886336e-15
1445.0,1e-06,3.00303603522e-06,1.30021847409e-15
1446.0,1e-06,3.00303813734e-06,1.30111808455e-15
1447.0,1e-06,3.00304023947e-06,1.30201769474e-15
1448.0,1e-06,3.0030423416e-06,1.30291730466e-15
1449.0,1e-06,3.00304444373e-06,1.30381691431e-15
1450.0,1e-06,3.00304654586e-06,1.30471652369e-15
1451.0,1e-06,3.00304864799e-06,1.3056161328e-15
1452.0,1e-06,3.00305075013e-06,1.30651574164e-15
1453.0,1e-06,3.00305285226e-06,1.30741535022e-15
1454.0,1e-06,3.0030549544e-06,1.30831495853e-15
1455.0,1e-06,3.00305705654e-06,1.30921456656e-15
1456.0,1e-06,3.00305915868e-06,1.31011417433e-15
1457.0,1e-06,3.00306126082e-06,1.31101378183e-15
1458.0,1e-06,3.00306336297e-06,1.31191338906e-15
1459.0,1e-06,3.00306546511e-06,1.31281299602e-15
1460.0,1e-06,3.00306756726e-06,1.31371260271e-15
1461.0,1e-06,3.00306966941e-06,1.31461220913e-15
1462.0,1e-06,3.00307177156e-06,1.31551181529e-15
1463.0,1e-06,3.00307387371e-06,1.31641142117e-15
1464.0,1e-06,3.00307597586e-06,1.31731102679e-15
1465.0,1e-06,3.00307807801e-06,1.31821063214e-15
1466.0,1e-06,3.00308018017e-06,1.31911023722e-15
1467.0,1e-06,3.00308228233e-06,1.32000984203e-15
1468.0,1e-06,3.00308438449e-06,1.32090944657e-15
1469.0,1e-06,3.00308648665e-06,1.32180905084e-15
1470.0,1e-06,3.00308858881e-06,1.32270865484e-15
1471.0,1e-06,3.00309069097e-06,1.32360825857e-15
1472.0,1e-06,3.00309279313e-06,1.32450786204e-15
1473.0,1e-06,3.0030948953e-06,1.32540746523e-15
1474.0,1e-06,3.00309699747e-06,1.32630706816e-15
1475.0,1e-06,3.00309909963e-06,1.32720667082e-15
1476.0,1e-06,3.0031012018e-06,1.32810627321e-15
1477.0,1e-06,3.00310330398e-06,1.32900587533e-15
1478.0,1e-06,3.00310540615e-06,1.32990547718e-15
1479.0,1e-06,3.00310750832e-06,1.33080507876e-15
1480.0,1e-06,3.0031096105e-06,1.33170468007e-15
1481.0,1e-06,3.00311171268e-06,1.33260428112e-15
1482.0,1e-06,3.00311381486e-06,1.33350388189e-15
1483.0,1e-06,3.00311591704e-06,1.3344034824e-15
1484.0,1e-06,3.00311801922e-06,1.33530308263e-15
1485.0,1e-06,3.0031201214e-06,1.3362026826e-15
1486.0,1e-06,3.00312222359e-06,1.3371022823e-15
1487.0,1e-06,3.00312432577e-06,1.33800188173e-15
1488.0,1e-06,3.00312642796e-06,1.33890148089e-15
1489.0,1e-06,3.00312853015e-06,1.33980107979e-15
1490.0,1e-06,3.00313063234e-06,1.34070067841e-15
1491.0,1e-06,3.00313273453e-06,1.34160027676e-15
1492.0,1e-06,3.00313483673e-06,1.34249987485e-15
1493.0,1e-06,3.00313693892e-06,1.34339947267e-15
